Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
Was the FIS Alpine World Ski Championship of 1950 held in Colorado?,"['http://dbpedia.org/resource/FIS_Alpine_World_Ski_Championships_1950', 'http://dbpedia.org/resource/Colorado']",['http://dbpedia.org/property/hostCity'],"['http://aksw.org/notInWiki/theFISAlpineWorldSkiChampionship', 'http://dbpedia.org/resource/Colorado', 'http://aksw.org/notInWiki/1950']",0.3333333333333333,0.5,['http://dbpedia.org/ontology/commander'],0.0,0.0
What are the outflow of the lakes which also has one of the outflow as Congo River ?,['http://dbpedia.org/resource/Congo_River'],"['http://dbpedia.org/ontology/outflow', 'http://dbpedia.org/property/outflow']","['http://dbpedia.org/resource/Congo_River', 'http://aksw.org/notInWiki/one']",0.5,1.0,[],0,0.0
List the science fiction shows broadcasted on BBC HD ?,"['http://dbpedia.org/resource/Science_fiction', 'http://dbpedia.org/resource/BBC_HD']","['http://dbpedia.org/ontology/network', 'http://dbpedia.org/property/genre']",['http://dbpedia.org/resource/BBC_HD'],1.0,0.5,['http://dbpedia.org/ontology/speaker'],0.0,0.0
Which key person of Clinton Foundation is also the president of Jim Sasser ?,"['http://dbpedia.org/resource/Clinton_Foundation', 'http://dbpedia.org/resource/Jim_Sasser']","['http://dbpedia.org/ontology/president', 'http://dbpedia.org/property/keyPeople']","['http://dbpedia.org/resource/Clinton_Foundation', 'http://dbpedia.org/resource/Jim_Sasser']",1.0,1.0,[],0,0.0
What is the division of the companies who make Runes of Magic?,['http://dbpedia.org/resource/Runes_of_Magic'],"['http://dbpedia.org/ontology/division', 'http://dbpedia.org/property/products']",['http://dbpedia.org/resource/Runes_of_Magic'],1.0,1.0,[],0,0.0
What is the basketball team whose President's college is Brockport Golden Eagles?,['http://dbpedia.org/resource/Brockport_Golden_Eagles'],"['http://dbpedia.org/property/college', 'http://dbpedia.org/property/president']",['http://dbpedia.org/resource/Brockport_Golden_Eagles'],1.0,1.0,[],0,0.0
What common teams do Ramiro Pea and Bruce Bochy share?,"['http://dbpedia.org/resource/Ramiro_Peña', 'http://dbpedia.org/resource/Bruce_Bochy']","['http://dbpedia.org/ontology/team', 'http://dbpedia.org/ontology/team']","['http://dbpedia.org/resource/Bruce_Bochy', 'http://aksw.org/notInWiki/RamiroPea']",0.5,0.5,[],0,0.0
In which sitcom did Jeff Conaway acted and had TNT as its network ?,"['http://dbpedia.org/resource/TNT_(TV_channel)', 'http://dbpedia.org/resource/Jeff_Conaway']","['http://dbpedia.org/ontology/starring', 'http://dbpedia.org/property/network']","['http://dbpedia.org/resource/Jeff_Conaway', 'http://dbpedia.org/resource/Trinitrotoluene']",0.5,0.5,['http://dbpedia.org/property/actend'],0.0,0.0
How many cities are around the sea into which the aegean sea flows?,['http://dbpedia.org/resource/Aegean_Sea'],"['http://dbpedia.org/ontology/outflow', 'http://dbpedia.org/property/cities']",[],0,0.0,['http://dbpedia.org/ontology/time'],0.0,0.0
How many buildings are located in the jurisdiction of John Tory?,['http://dbpedia.org/resource/John_Tory'],"['http://dbpedia.org/ontology/leaderName', 'http://dbpedia.org/property/location']",['http://dbpedia.org/resource/John_Tory'],1.0,1.0,['http://dbpedia.org/ontology/person'],0.0,0.0
Which railway line goes through the stations which are a part of the North Caucasus railway?,['http://dbpedia.org/resource/North_Caucasus_Railway'],"['http://dbpedia.org/ontology/type', 'http://dbpedia.org/ontology/servingRailwayLine']",['http://dbpedia.org/resource/North_Caucasus'],0.0,0.0,[],0,0.0
Whose doctoral student is etienne bieler\xc9tienne_Bi\xe9ler,['http://dbpedia.org/resource/Étienne_Biéler'],['http://dbpedia.org/ontology/doctoralStudent'],['http://aksw.org/notInWiki/Bixe9ler'],0.0,0.0,[],0,0.0
What are some bands originating in London?,['http://dbpedia.org/resource/London'],['http://dbpedia.org/ontology/hometown'],['http://dbpedia.org/resource/.london'],0.0,0.0,['http://dbpedia.org/ontology/production'],0.0,0.0
what awards have been giving to Muhammad Yunus?,['http://dbpedia.org/resource/Muhammad_Yunus'],['http://dbpedia.org/ontology/award'],['http://dbpedia.org/resource/Muhammad_Yunus'],1.0,1.0,[],0,0.0
"List the successor of successor of Hayden, Stone & Co.","['http://dbpedia.org/resource/Hayden,_Stone_&_Co.']","['http://dbpedia.org/ontology/successor', 'http://dbpedia.org/ontology/successor']","['http://aksw.org/notInWiki/Hayden,Stone&Co']",0.0,0.0,[],0,0.0
What are some video games whose music is composed by an employ of the company Creatures?,['http://dbpedia.org/resource/Creatures_(company)'],"['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/property/composer']",[],0,0.0,['http://dbpedia.org/ontology/musicComposer'],0.0,0.0
Who are the people which ITV(TV network) has employed?,['http://dbpedia.org/resource/ITV_(TV_network)'],['http://dbpedia.org/property/employer'],['http://aksw.org/notInWiki/ITV'],0.0,0.0,"['http://dbpedia.org/ontology/tvComId', 'http://dbpedia.org/ontology/leader']",0.0,0.0
Which televion show's theme music was given by Ron Grainer and is broadcasted by BBC HD ?,"['http://dbpedia.org/resource/Ron_Grainer', 'http://dbpedia.org/resource/BBC_HD']","['http://dbpedia.org/ontology/network', 'http://dbpedia.org/property/themeMusicComposer']","['http://dbpedia.org/resource/Ron_Grainer', 'http://dbpedia.org/resource/BBC_HD']",1.0,1.0,['http://dbpedia.org/ontology/speaker'],0.0,0.0
What team did J P Paris was former team of Bert McCaffrey play for?,"['http://dbpedia.org/resource/J._P._Parisé', 'http://dbpedia.org/resource/Bert_McCaffrey']","['http://dbpedia.org/ontology/formerTeam', 'http://dbpedia.org/property/playedFor']","['http://dbpedia.org/resource/Bert_McCaffrey', 'http://aksw.org/notInWiki/JPParis']",0.5,0.5,['http://dbpedia.org/ontology/starring'],0.0,0.0
How many teams have LA kings players in them currently?,['http://dbpedia.org/resource/Los_Angeles_Kings'],"['http://dbpedia.org/ontology/formerTeam', 'http://dbpedia.org/ontology/team']",['http://aksw.org/notInWiki/LA'],0.0,0.0,[],0,0.0
List the opponents of the relatives of Thomas Helwys?,['http://dbpedia.org/resource/Thomas_Helwys'],"['http://dbpedia.org/ontology/relation', 'http://dbpedia.org/ontology/opponent']",['http://dbpedia.org/resource/Thomas_Helwys'],1.0,1.0,[],0,0.0
Who is the coach of England national under-21 football team ?,['http://dbpedia.org/resource/England_national_under-21_football_team'],['http://dbpedia.org/property/coach'],['http://dbpedia.org/resource/England'],0.0,0.0,[],0,0.0
Name an airline with hub airports as Los Angeles International Airport and San Francisco International Airport?,"['http://dbpedia.org/resource/Los_Angeles_International_Airport', 'http://dbpedia.org/resource/San_Francisco_International_Airport']","['http://dbpedia.org/ontology/hubAirport', 'http://dbpedia.org/property/hubs']","['http://dbpedia.org/resource/San_Francisco_International_Airport', 'http://dbpedia.org/resource/Los_Angeles_International_Airport']",1.0,1.0,[],0,0.0
What is the region of Tom Perriello ?,['http://dbpedia.org/resource/Tom_Perriello'],['http://dbpedia.org/ontology/region'],['http://dbpedia.org/resource/Tom_Perriello'],1.0,1.0,[],0,0.0
What is the label of the album whose previous work is Waterfall?,['http://dbpedia.org/resource/Waterfall_(album)'],"['http://dbpedia.org/ontology/previousWork', 'http://dbpedia.org/property/label']",['http://dbpedia.org/resource/Waterfall'],0.0,0.0,[],0,0.0
What are some other great things by the person who produced Queer as Folk?,['http://dbpedia.org/resource/Queer_as_Folk_(UK_TV_series)'],"['http://dbpedia.org/ontology/producer', 'http://dbpedia.org/property/notableworks']",[],0,0.0,['http://dbpedia.org/ontology/wineProduced'],0.0,0.0
"Where is the assembly of Plymouth Savoy, and where Special 26 was recorded?","['http://dbpedia.org/resource/Plymouth_Savoy', 'http://dbpedia.org/resource/Special_26']","['http://dbpedia.org/ontology/assembly', 'http://dbpedia.org/property/recorded']","['http://dbpedia.org/resource/Plymouth_Savoy', 'http://dbpedia.org/resource/Special_26']",1.0,1.0,['http://dbpedia.org/ontology/recordedIn'],0.0,0.0
Who owns the railway line which goes through the Newark Station?,['http://dbpedia.org/resource/Newark_station_(Delaware)'],"['http://dbpedia.org/property/line', 'http://dbpedia.org/property/owner']",['http://aksw.org/notInWiki/theNewarkStation'],0.0,0.0,['http://dbpedia.org/ontology/languageFamily'],0.0,0.0
"Which relative of George Madison was the leader of United States House of Representatives elections, 1788 and 1789 ?","['http://dbpedia.org/resource/George_Madison', 'http://dbpedia.org/resource/United_States_House_of_Representatives_elections,_1788_and_1789']","['http://dbpedia.org/ontology/relation', 'http://dbpedia.org/property/leader']","['http://dbpedia.org/resource/House_of_Representatives', 'http://dbpedia.org/resource/George_Madison', 'http://dbpedia.org/resource/United_States', 'http://aksw.org/notInWiki/1789', 'http://aksw.org/notInWiki/1788']",0.2,0.5,[],0,0.0
What is the branch of the politicians whose governor is Bill Clements?,['http://dbpedia.org/resource/Bill_Clements'],"['http://dbpedia.org/ontology/governor', 'http://dbpedia.org/property/branch']",['http://dbpedia.org/resource/Bill_Clements'],1.0,1.0,[],0,0.0
Is National Archaeological Museum (Florence) the museum of Chimera of Arezzo?,"['http://dbpedia.org/resource/Chimera_of_Arezzo', 'http://dbpedia.org/resource/National_Archaeological_Museum_(Florence)']",['http://dbpedia.org/property/museum'],"['http://aksw.org/notInWiki/NationalArchaeologicalMuseum', 'http://dbpedia.org/resource/Chimera_of_Arezzo', 'http://dbpedia.org/resource/Florence']",0.3333333333333333,0.5,[],0,0.0
Who are the associate musical artists of Dalma Kovcs ?,['http://dbpedia.org/resource/Dalma_Kovács'],['http://dbpedia.org/ontology/associatedMusicalArtist'],['http://aksw.org/notInWiki/DalmaKovcs'],0.0,0.0,[],0,0.0
"Whichd officer's final resting place is North Bend, ohio and belongs to Indiana Territory branch ","['http://dbpedia.org/resource/North_Bend,_Ohio', 'http://dbpedia.org/resource/Indiana_Territory']","['http://dbpedia.org/property/restingplace', 'http://dbpedia.org/property/branch']","['http://dbpedia.org/resource/Indiana_Territory', 'http://aksw.org/notInWiki/NorthBend', 'http://aksw.org/notInWiki/ohio']",0.3333333333333333,0.5,['http://dbpedia.org/ontology/date'],0.0,0.0
Name the profession of Oamr D Conger for which Jack Ryan was also nominated ?,"['http://dbpedia.org/resource/Jack_Ryan_(politician)', 'http://dbpedia.org/resource/Omar_D._Conger']","['http://dbpedia.org/ontology/nominee', 'http://dbpedia.org/property/order']","['http://aksw.org/notInWiki/OamrDConger', 'http://aksw.org/notInWiki/JackRyan']",0.0,0.0,['http://dbpedia.org/property/nominated'],0.0,0.0
What is the series of the book which is a subsequent work of Blade Runner 2: The Edge of Human ?,['http://dbpedia.org/resource/Blade_Runner_2:_The_Edge_of_Human'],"['http://dbpedia.org/ontology/subsequentWork', 'http://dbpedia.org/ontology/series']","['http://dbpedia.org/resource/Blade_Runner_2:_The_Edge_of_Human', 'http://dbpedia.org/resource/Blade_Runner', 'http://aksw.org/notInWiki/2']",0.3333333333333333,1.0,[],0,0.0
Does the Vadodara Railway station lie at the end of the Mathura Vadodara route?,"['http://dbpedia.org/resource/Mathura–Vadodara_Section', 'http://dbpedia.org/resource/Vadodara_Junction_railway_station']",['http://dbpedia.org/ontology/routeEnd'],"['http://aksw.org/notInWiki/theMathuraVadodara', 'http://aksw.org/notInWiki/VadodaraRailway']",0.0,0.0,[],0,0.0
President of Ghana is the leader title of which country?,['http://dbpedia.org/resource/President_of_Ghana'],['http://dbpedia.org/property/leaderTitle'],['http://dbpedia.org/resource/Ghana'],0.0,0.0,[],0,0.0
"Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames?","['http://dbpedia.org/resource/Battle_of_Fort_Stephenson', 'http://dbpedia.org/resource/Battle_of_the_Thames']","['http://dbpedia.org/ontology/commander', 'http://dbpedia.org/ontology/commander']","['http://aksw.org/notInWiki/theBattleofFortStephenson', 'http://dbpedia.org/resource/River_Thames']",0.0,0.0,[],0,0.0
In which city are buildings by Solon Spencer Beman found?,['http://dbpedia.org/resource/Solon_Spencer_Beman'],"['http://dbpedia.org/ontology/architect', 'http://dbpedia.org/property/locationTown']",['http://dbpedia.org/resource/Solon_Spencer_Beman'],1.0,1.0,[],0,0.0
Name the scientist who was the winner of Royal Society award and had Georg Meissner as his doctoral advisor ?,"['http://dbpedia.org/resource/Royal_Society', 'http://dbpedia.org/resource/Georg_Meissner']","['http://dbpedia.org/property/prizes', 'http://dbpedia.org/property/doctoralAdvisor']","['http://aksw.org/notInWiki/RoyalSocietyaward', 'http://dbpedia.org/resource/Georg_Meissner']",0.5,0.5,[],0,0.0
What is the commander of Battle of Brownstown ?,['http://dbpedia.org/resource/Battle_of_Brownstown'],['http://dbpedia.org/ontology/commander'],['http://dbpedia.org/resource/Battle_of_Brownstown'],1.0,1.0,[],0,0.0
What religion's politicians are in the Malaysian Chinese association?,['http://dbpedia.org/resource/Malaysian_Chinese_Association'],"['http://dbpedia.org/ontology/party', 'http://dbpedia.org/ontology/religion']","['http://aksw.org/notInWiki/Malaysian', 'http://aksw.org/notInWiki/Chinese']",0.0,0.0,[],0,0.0
How many religions are practiced by diplomats?,['http://dbpedia.org/resource/Diplomacy'],"['http://dbpedia.org/ontology/profession', 'http://dbpedia.org/property/religion']",[],0,0.0,['http://dbpedia.org/ontology/company'],0.0,0.0
Who developed the programming languages designed by Rob Pike?,['http://dbpedia.org/resource/Rob_Pike'],"['http://dbpedia.org/ontology/designer', 'http://dbpedia.org/ontology/developer']",['http://dbpedia.org/resource/Rob_Pike'],1.0,1.0,"['http://dbpedia.org/ontology/developer', 'http://dbpedia.org/ontology/designer']",1.0,1.0
List down the prime ministers of Peter Thorneycroft ?,['http://dbpedia.org/resource/Peter_Thorneycroft'],['http://dbpedia.org/ontology/primeMinister'],['http://dbpedia.org/resource/Peter_Thorneycroft'],1.0,1.0,[],0,0.0
What are the non-fiction topics in the books whose authors is Terry Pratchett?,['http://dbpedia.org/resource/Terry_Pratchett'],"['http://dbpedia.org/ontology/nonFictionSubject', 'http://dbpedia.org/property/author']",['http://dbpedia.org/resource/Terry_Pratchett'],1.0,1.0,[],0,0.0
Where is the senator from whose successor was James belford?,['http://dbpedia.org/resource/James_B._Belford'],"['http://dbpedia.org/ontology/region', 'http://dbpedia.org/property/successor']",['http://aksw.org/notInWiki/Jamesbelford'],0.0,0.0,[],0,0.0
List the newspapers which has headquarters in Stockholm?,['http://dbpedia.org/resource/Stockholm'],['http://dbpedia.org/property/headquarters'],['http://dbpedia.org/resource/Stockholm'],1.0,1.0,[],0,0.0
Which president of Lance Adams-Schneider had nickname Daniel O'Regan ?,"['http://dbpedia.org/resource/Lance_Adams-Schneider', ""http://dbpedia.org/resource/Daniel_O'Regan""]","['http://dbpedia.org/property/president', 'http://dbpedia.org/property/nickname']","['http://dbpedia.org/resource/Lance_Adams-Schneider', ""http://dbpedia.org/resource/Daniel_O'Regan""]",1.0,1.0,[],0,0.0
List the software using C++ as programming language and licence is Software as a service?,"['http://dbpedia.org/resource/C++', 'http://dbpedia.org/resource/Software_as_a_service']","['http://dbpedia.org/ontology/license', 'http://dbpedia.org/property/programmingLanguage']",[],0,0.0,[],0,0.0
list some companies founded by Jim Harris.,['http://dbpedia.org/resource/Jim_Harris_(entrepreneur)'],['http://dbpedia.org/ontology/foundedBy'],['http://aksw.org/notInWiki/JimHarris'],0.0,0.0,['http://dbpedia.org/ontology/foundationPlace'],0.0,0.0
"What has been founded in the state that Denton county, Texas is a part of? ","['http://dbpedia.org/resource/Denton_County,_Texas']","['http://dbpedia.org/ontology/part', 'http://dbpedia.org/ontology/foundationPlace']","['http://aksw.org/notInWiki/Dentoncounty', 'http://dbpedia.org/resource/Texas']",0.0,0.0,['http://dbpedia.org/ontology/person'],0.0,0.0
Which countries militaries fought the SFOR battle?,['http://dbpedia.org/resource/SFOR'],"['http://dbpedia.org/ontology/battle', 'http://dbpedia.org/property/battles']",['http://dbpedia.org/resource/SFOR'],1.0,1.0,['http://dbpedia.org/ontology/nerve'],0.0,0.0
What is the awards won by the producer of From the Life of the Marionettes ?,['http://dbpedia.org/resource/From_the_Life_of_the_Marionettes'],"['http://dbpedia.org/ontology/producer', 'http://dbpedia.org/property/awards']",['http://dbpedia.org/resource/From_the_Life_of_the_Marionettes'],1.0,1.0,[],0,0.0
How many ,['http://dbpedia.org/resource/Chicago_Bulls'],['http://dbpedia.org/property/team'],[],0,0.0,[],0,0.0
How many writers worked on the album Main Course?,['http://dbpedia.org/resource/Main_Course'],"['http://dbpedia.org/property/album', 'http://dbpedia.org/property/writer']",['http://dbpedia.org/resource/Main_Course'],1.0,1.0,['http://dbpedia.org/ontology/operator'],0.0,0.0
Count the number of shows whose creators are Jerry Seinfeld and Larry David?,"['http://dbpedia.org/resource/Jerry_Seinfeld', 'http://dbpedia.org/resource/Larry_David']","['http://dbpedia.org/ontology/creator', 'http://dbpedia.org/ontology/creator']","['http://dbpedia.org/resource/Jerry_Seinfeld', 'http://dbpedia.org/resource/Larry_David']",1.0,1.0,[],0,0.0
Name the airlines which have a hub in airport in SF?,['http://dbpedia.org/resource/San_Francisco'],"['http://dbpedia.org/property/cityServed', 'http://dbpedia.org/property/hubs']",['http://aksw.org/notInWiki/SF'],0.0,0.0,[],0,0.0
What is the television show whose company is Playtone and written by Erik Jendresen?,"['http://dbpedia.org/resource/Playtone', 'http://dbpedia.org/resource/Erik_Jendresen']","['http://dbpedia.org/ontology/company', 'http://dbpedia.org/property/writer']","['http://dbpedia.org/resource/Erik_Jendresen', 'http://dbpedia.org/resource/Playtone']",1.0,1.0,['http://dbpedia.org/ontology/writer'],1.0,0.5
Which office holder allegiance is Colony of Virginia and was has a wife named Dolley Madison ?,"['http://dbpedia.org/resource/Dolley_Madison', 'http://dbpedia.org/resource/Colony_of_Virginia']","['http://dbpedia.org/property/spouse', 'http://dbpedia.org/property/allegiance']","['http://dbpedia.org/resource/Colony_of_Virginia', 'http://dbpedia.org/resource/Dolley_Madison']",1.0,1.0,[],0,0.0
How many broadcast area of the television stations exists whose broadcast area is Rodrigues ?,['http://dbpedia.org/resource/Rodrigues'],"['http://dbpedia.org/property/broadcastArea', 'http://dbpedia.org/property/broadcastArea']",['http://dbpedia.org/resource/Rodrigues'],1.0,1.0,['http://dbpedia.org/ontology/date'],0.0,0.0
What is the religion of the ethnic group to which the relatives of Waxiang people belong?,['http://dbpedia.org/resource/Waxiang_people'],"['http://dbpedia.org/ontology/religion', 'http://dbpedia.org/property/related']",['http://dbpedia.org/resource/Waxiang_Chinese'],0.0,0.0,['http://dbpedia.org/ontology/date'],0.0,0.0
Which wine region of Bogdanua is the mouth country of Upper Neretva ?,"['http://dbpedia.org/resource/Bogdanuša', 'http://dbpedia.org/resource/Upper_Neretva']","['http://dbpedia.org/ontology/wineRegion', 'http://dbpedia.org/ontology/mouthCountry']","['http://dbpedia.org/resource/Upper_Neretva', 'http://aksw.org/notInWiki/Bogdanua']",0.5,0.5,[],0,0.0
Under whom did Charles Drummond Ellis do his PhD?,['http://dbpedia.org/resource/Charles_Drummond_Ellis'],['http://dbpedia.org/ontology/doctoralStudent'],"['http://dbpedia.org/resource/Charles_Drummond_Ellis', 'http://dbpedia.org/resource/Doctor_of_Philosophy']",0.5,1.0,[],0,0.0
Which company is the parent company of Chevrolet Spark ?,['http://dbpedia.org/resource/Chevrolet_Spark'],['http://dbpedia.org/property/parentCompany'],['http://dbpedia.org/resource/Chevrolet_Spark'],1.0,1.0,[],0,0.0
Which associat of Martin Pugh is also married to Alana Stewert ?,"['http://dbpedia.org/resource/Martin_Pugh', 'http://dbpedia.org/resource/Alana_Stewart']","['http://dbpedia.org/ontology/spouse', 'http://dbpedia.org/property/associatedActs']","['http://aksw.org/notInWiki/AlanaStewert', 'http://dbpedia.org/resource/Martin_Pugh']",0.5,0.5,[],0,0.0
Which stadium's operator works in the Pepsi Center?,['http://dbpedia.org/resource/Pepsi_Center'],"['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/operator']",['http://aksw.org/notInWiki/thePepsiCenter'],0.0,0.0,['http://dbpedia.org/ontology/plant'],0.0,0.0
What is the drafted team of the people expected to join toronto marlies?,['http://dbpedia.org/resource/Toronto_Marlies'],"['http://dbpedia.org/ontology/prospectTeam', 'http://dbpedia.org/property/draftTeam']",['http://dbpedia.org/resource/Toronto'],0.0,0.0,"['http://dbpedia.org/ontology/draft', 'http://dbpedia.org/ontology/established']",0.0,0.0
"What city in the US was Alfred Phillips born in, and is the resting place of William Smith?","['http://dbpedia.org/resource/William_H._Smith_(Connecticut)', 'http://dbpedia.org/resource/Alfred_N._Phillips']","['http://dbpedia.org/ontology/restingPlace', 'http://dbpedia.org/property/birthPlace']","['http://aksw.org/notInWiki/AlfredPhillips', 'http://aksw.org/notInWiki/WilliamSmith', 'http://aksw.org/notInWiki/US']",0.0,0.0,"['http://dbpedia.org/ontology/birthYear', 'http://dbpedia.org/ontology/restingPlace']",0.5,0.5
Who is the prime minister of Michael Jeffery who is also the minister of Williuam Deane ?,"['http://dbpedia.org/resource/Michael_Jeffery', 'http://dbpedia.org/resource/William_Deane']","['http://dbpedia.org/ontology/primeMinister', 'http://dbpedia.org/property/primeminister']","['http://dbpedia.org/resource/Michael_Jeffery', 'http://aksw.org/notInWiki/WilliuamDeane']",0.5,0.5,[],0,0.0
Who appointed the governor under whom Richard Winn works?,['http://dbpedia.org/resource/Richard_Winn'],"['http://dbpedia.org/property/lieutenant', 'http://dbpedia.org/property/appointer']",['http://dbpedia.org/resource/Richard_Winn'],1.0,1.0,"['http://dbpedia.org/ontology/appointer', 'http://dbpedia.org/ontology/plant']",0.5,0.5
Whose deputy is Neil Brown?,['http://dbpedia.org/resource/Neil_Brown_(Australian_politician)'],['http://dbpedia.org/property/deputy'],['http://aksw.org/notInWiki/NeilBrown'],0.0,0.0,[],0,0.0
Who founded the Not on our Watch NGO?,['http://dbpedia.org/resource/Not_on_Our_Watch_(organization)'],['http://dbpedia.org/ontology/foundedBy'],[],0,0.0,['http://dbpedia.org/ontology/foundationPlace'],0.0,0.0
Who first ascented a mountain of Mount Hoffmann ?,['http://dbpedia.org/resource/Mount_Hoffmann'],['http://dbpedia.org/ontology/firstAscentPerson'],"['http://dbpedia.org/resource/Mount_Hoffmann', 'http://dbpedia.org/resource/First_(Denise_Ho_album)']",0.5,1.0,['http://dbpedia.org/ontology/firstAscentPerson'],1.0,1.0
List the broadcast area of the TV stations which also serves in Agalga ?,['http://dbpedia.org/resource/Agaléga'],"['http://dbpedia.org/ontology/broadcastArea', 'http://dbpedia.org/property/broadcastArea']",['http://aksw.org/notInWiki/Agalga'],0.0,0.0,['http://dbpedia.org/ontology/series'],0.0,0.0
Which operating system provider of LG Optimus Vu is also the employer of Manu Cornet ?,"['http://dbpedia.org/resource/LG_Optimus_Vu', 'http://dbpedia.org/resource/Manu_Cornet']","['http://dbpedia.org/ontology/operatingSystem', 'http://dbpedia.org/property/employer']","['http://dbpedia.org/resource/LG_Optimus_Vu', 'http://dbpedia.org/resource/Manu_Cornet']",1.0,1.0,['http://dbpedia.org/ontology/operatingSystem'],1.0,0.5
Which company owns the manufacturer of the Edsel Ranger?,['http://dbpedia.org/resource/Edsel_Ranger'],"['http://dbpedia.org/property/products', 'http://dbpedia.org/property/parent']",['http://aksw.org/notInWiki/theEdselRanger'],0.0,0.0,['http://dbpedia.org/ontology/languageFamily'],0.0,0.0
Which are the major hubs of airline which operates the Menora Tunnel?,['http://dbpedia.org/resource/Menora_Tunnel'],"['http://dbpedia.org/property/operator', 'http://dbpedia.org/property/hubs']",['http://aksw.org/notInWiki/theMenoraTunnel'],0.0,0.0,['http://dbpedia.org/ontology/staff'],0.0,0.0
Name a scientist whose official residence is Cape Town and also won a gold medal at the Royal Astronomical Society ?,"['http://dbpedia.org/resource/Gold_Medal_of_the_Royal_Astronomical_Society', 'http://dbpedia.org/resource/Cape_Town']","['http://dbpedia.org/property/prizes', 'http://dbpedia.org/property/residence']","['http://aksw.org/notInWiki/theRoyalAstronomicalSociety', 'http://dbpedia.org/resource/Cape_Town']",0.5,0.5,['http://dbpedia.org/ontology/city'],0.0,0.0
What is the military conflict whose commanders are John McEwen and Phm Vn ng?,"['http://dbpedia.org/resource/John_McEwen', 'http://dbpedia.org/resource/Phạm_Văn_Đồng']","['http://dbpedia.org/ontology/commander', 'http://dbpedia.org/ontology/commander']","['http://dbpedia.org/resource/John_McEwen', 'http://aksw.org/notInWiki/PhmVnng']",0.5,0.5,[],0,0.0
In which countries have models hanged themselves?,['http://dbpedia.org/resource/Suicide_by_hanging'],"['http://dbpedia.org/property/deathCause', 'http://dbpedia.org/property/citizenship']",[],0,0.0,['http://dbpedia.org/ontology/county'],0.0,0.0
Bridges over what can carry vehicles?,['http://dbpedia.org/resource/Motor_vehicle'],"['http://dbpedia.org/property/carries', 'http://dbpedia.org/property/crosses']",[],0,0.0,['http://dbpedia.org/ontology/channel'],0.0,0.0
In how many countries do the rivers start which end at the Caspian Sea?,['http://dbpedia.org/resource/Caspian_Sea'],"['http://dbpedia.org/ontology/riverMouth', 'http://dbpedia.org/ontology/sourceCountry']",['http://aksw.org/notInWiki/theCaspianSea'],0.0,0.0,"['http://dbpedia.org/ontology/source', 'http://dbpedia.org/ontology/fate']",0.0,0.0
What was founded by Congress of Industrial Organizations ?,['http://dbpedia.org/resource/Congress_of_Industrial_Organizations'],['http://dbpedia.org/property/founded'],['http://dbpedia.org/resource/Congress_of_Industrial_Organizations'],1.0,1.0,['http://dbpedia.org/property/founded'],1.0,1.0
Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past?,['http://dbpedia.org/resource/Catarina_Lindgren'],"['http://dbpedia.org/ontology/formerChoreographer', 'http://dbpedia.org/ontology/formerPartner']",['http://dbpedia.org/resource/Catarina_Lindgren'],1.0,1.0,['http://dbpedia.org/ontology/choreographer'],0.0,0.0
Which holy things canonized John of Damascus?,['http://dbpedia.org/resource/John_of_Damascus'],['http://dbpedia.org/ontology/canonizedBy'],"['http://dbpedia.org/resource/Damascus', 'http://aksw.org/notInWiki/John']",0.0,0.0,['http://dbpedia.org/ontology/canonizedDate'],0.0,0.0
Count the number of schools which are in a city governed by the West Berkshire Council?,['http://dbpedia.org/resource/West_Berkshire_Council'],"['http://dbpedia.org/ontology/leaderName', 'http://dbpedia.org/property/city']",['http://aksw.org/notInWiki/theWestBerkshireCouncil'],0.0,0.0,['http://dbpedia.org/ontology/principal'],0.0,0.0
Did Hank Williams Jr. make Early in the Morning and Late at Night?,"['http://dbpedia.org/resource/Early_in_the_Morning_and_Late_at_Night', 'http://dbpedia.org/resource/Hank_Williams_Jr.']",['http://dbpedia.org/ontology/musicalArtist'],[],0,0.0,[],0,0.0
Is Pixar Canada a subsidiary of Pixar?,"['http://dbpedia.org/resource/Pixar', 'http://dbpedia.org/resource/Pixar_Canada']",['http://dbpedia.org/ontology/subsidiary'],"['http://dbpedia.org/resource/Pixar_Canada', 'http://dbpedia.org/resource/Pixar_Canada']",0.5,0.5,[],0,0.0
List some leaders of regions in the Indian Standard Time Zone?,['http://dbpedia.org/resource/Indian_Standard_Time'],"['http://dbpedia.org/ontology/timeZone', 'http://dbpedia.org/ontology/leaderName']",['http://aksw.org/notInWiki/theIndianStandardTimeZone'],0.0,0.0,[],0,0.0
List the spanish football player in the NYC FC ?,"['http://dbpedia.org/resource/New_York_City_FC', 'http://dbpedia.org/resource/Spain_national_football_team']","['http://dbpedia.org/property/currentclub', 'http://dbpedia.org/property/nationalteam']",['http://dbpedia.org/resource/New_York_City'],0.0,0.0,[],0,0.0
